Name,Current Company/Employer,Past Companies,Description,Key Areas of Interest/Expertise,In what capacity do you want to help out?,Advisor Location.,Berkeley SkyDeck or Milano,id
Frank Hysa,Capgemini,"Volvo Group, Startup Grind, Loccioni Group, The Hive Business Accelerator, University of Maryland","Frank is Director of innovation at Capgemini, part of The Applied Innovation Exchange team that enables groundbreaking innovation across all industries, leveraging the Silicon Valley innovation ecosystem. Former Principal Innovation Manager at Volvo Group. He earned a Ph.D. on open innovation strategies and has 10+ years of innovation management experience working with corporates, startups & tech ecosystems. He is also a mentor in some of the world’s largest startup communities including Founder institute & Startup Grind. Born in Albania, he spent over 20 years around Europe, and currently based in San Francisco, CA","Corporate Innovation, Open Innovation, Startup Ecosystem Building",Mentor,USA/Canada,Berkeley Skydeck,recrUhZDyMes74HEL
Andrew Liu Ng,i-Human Patients,"ZS Associates, Khan Lab School, Danco Capital, Kaplan","Business POV: Led multiple consulting engagements for companies with >$1B ARR.  Customer POV: Worked as a server and host at a sandwich shop. Design POV: Spent a summer in Kenya, overhauling their web stack, increasing traffic 2x. Inventor POV: Fundraised and built a laser spectroscopy tool for measuring air pollutants. Product POV: Managing product managers, designers, and engineers for a ~$1MM MRR tool.","Product Strategy, User Experience Design, Go-To-Market Strategy, Agile Development.",Mentor,USA/Canada,Berkeley Skydeck,recrbzZIjc9BbICtn
Michelle Huang,SoftBank Vision Fund,Goldman Sachs,"Cal alumna and ex-investment banker at Goldman Sachs, currently an SF-based investor at SoftBank's Vision Fund, and excited to chat about all things SaaS!","Software, Healthcare",Mentor,USA/Canada,Berkeley Skydeck,recrgVoTH8GImbUeu
Stephaniei Louie,One10 North,"Del Monte, Starkist, Adobe, Norton LifeLock, Olly, Petco, Silicon Valley Bank, Berekely Haas, Next Insurance","An entrepreneur at heart, I help Founders build their brands. I founded my strategy consulting firm, One10 North, with that goal in mind - to ensure that every brand and business has the chance to succeed. I leverage my 20 years of experience in brand and marketing strategy, consumer research and innovation, in both brand management and at agencies, to help my clients determine what’s mission critical and guide them accordingly. And I am a firm believer in developing strategies that are based on key insights, leveraging them to build businesses, brands and products that meet the needs of today’s customer.","Brand Strategy & Positioning, Go-to-Market Strategies, Consumer Research (both Qualitative and Quantitative), Target Consumer / Consumer Personas, Innovation Strategies, Design-Thinking Ideation, Product Development & Testing, Naming, Messaging",Advisor,USA/Canada,Berkeley Skydeck,recrh9onO5RjIfxZu
Jessica Pourian,UCSF,Health Advances - Healthcare Strategy Consulting Firm ,"I bring to Berkeley Skydeck a blend of clinical expertise and strategic analysis, with a focus on clinical informatics. I’m a board-certified attending pediatrician with a strong technical background developed at MIT and through three years of healthcare consulting, now being further expanded through a clinical informatics fellowship at UCSF. As a consultant I worked with both start-ups and large pharmaceutical companies, assisting with market research and financial modeling. Additionally, I have experience in healthcare technology operations through my time at Brown and at UCSF, and a robust research profile with proficiency in SQL and R. Considering my technical and medical background, I am well-prepared me to mentor startups at Berkeley SkyDeck, particularly those navigating the complexities of healthcare technology.","Pediatrics, clinical informatics, data privacy (especially as related to adolescents, LGBT, and reproductive health), market research",Mentor,USA/Canada,Berkeley Skydeck,recrxOi9yCBWbHRIZ
Nancy Chen,Wells Fargo Strategic Capital,Wells Fargo,"2 years of Tech Investment Banking, and 3+ months as a Tech VC associate specializing in fintech","Fintech, bitcoin mining",Mentor,,Berkeley Skydeck,recsE8XqwFVoYWL1Z
ALI SHARIFI,Kerogen Capital,"Shell Technology Ventures, Arthur D Little","20 years of international investment, operations, and strategy experience with 10 years in private growth asset management focused on conventional & renewables energy, digital technologies, energy transition, climate tech, and sustainability; Actively supported ~20 high growth ventures, strong deal sourcing, board experience, and professional network ","energy, climate, industrial",Mentor,,Berkeley Skydeck,recsEdQ4nBXZEFk13
Hector Barresi,CXO Partners,"Danaher, GE, Honeywell, IDEX, IMI, Spectris","Global Industrial Automation Expert. Specialized in New Product Development, Innovation. Chief Product Officer","Industrial Automation & Control. Manufacturing, O&G, Power Generation, Chemical. IoT, AI. M&A. Strategy. International markets. Lean.",Advisor,USA/Canada,Berkeley Skydeck,recsFQOgcVCKgJeoR
Srinivas Vadhri,www.g-p.com,"Visa, Intuit, PayPal, Commerce One, Western Union, PWC, E&Y","26+ years in eCommerce, Payments/FinTech, Supply Chain, worked globally for large and small companies. Passionate about solving hard problems through rapid iteration. Been in the Product Management space for the past 16+ years","Payments, FinTech, Supply Chain",Advisor,USA/Canada,Berkeley Skydeck,recsP9oFfxxhoVjss
Brett Frazer,"Service Matters LLC, under contract to Arise Virtual Solutions","Sunbasket, Adobe, Microsoft, Sutherland Global Solutions","The majority of my professional background (21yrs) has been in Customer Experience, Service & Support, combined with 4 years of Organizational Development (HR/ Employee Experience). I have worked for large MNCs, Start Ups and recently created my own company underwhich I am woring a customer service framework book and starting a Customer Engagement Consultancy practice. Originally from New Zealand, I have lived and worked in 5 countries, and outside of corporate work, I am a semi professional and passionate photographer, and a mentor, primarily for first generation college students through GMI. I love helping people solve interesting problems ","Customer Experience, Employee Experience, Customer Journey Mapping, Leadership Coaching",Advisor,USA/Canada,Berkeley Skydeck,recsZbrCEsJFvObpJ
Micheline Casey,Siemens Energy,"Maersk, Ford, U.S. Federal Reserve","25 years in advanced analytics, data, and digital transformation, leading transformations in major global companies as chief data and analytics officer. ","advanced analytics, AI, data monetization, business models, digital transformation",Advisor,Europe,"SkyDeck Europe, Milano",recsaPnmNOtHJLKEW
Gail Christine Gannon,UC Berkeley & Ensanté ,"Biotech, Medtech, Digital health, startups to Fortune 100s","Since 2006, Gail’s goal is to elevate the conversation. She applies a transplinary approach to driving actionable knowledge, finding better ways to deploy technology and people to redesign healthcare and improve health and well being, for example, reducing bottlenecks in operating rooms, clinics, intensive care units, and emergency departments. Her clients include major health care providers such as Stanford, University of California, San Francisco, as well as startups through US-MAC, PlugnPlay, Austral, the Lazaridis Institute, and other international accelerators.   Drawing on her strong therapeutics background, Gail excels at identifying and matching compatible partners. For example, she selected companies to expand OneWorld Health-PATH, a Bill & Melinda Gates Foundation-sponsored product development partnership. She also sourced early-midstage companies for pharma pipelines (e.g., Daiichi Sankyo, Boehringer Ingelheim). Gail enjoys mentoring budding and seasoned entrepreneurs (e.g., Epibiome, Ciel Medical Devices), through the California Life Sciences Association, UCSF's Lean Launchpad, and Stanford's SPARK. Serving on the ASTIA and BIO advisory and educational boards adds to Gail's broad knowledge of the regional, national, and international players in the digital health and therapeutic space.  Gail is particularly good at helping companies figure out and articulate their business value via marketing collateral and company pitches, often helping founders pivot to more lucrative markets they had not considered while delivering products and services that address UN SDGs and ESG. She’s often found at conferences, particularly with healthcare industry leaders and the Silicon Valley investor community, leading panels and making informal introductions.",Series A/B Strategic Business Advisoe ,Advisor,USA/Canada,Berkeley Skydeck,recspfiA7P7keFQDf
Sudheer Someshwara,Yelp Inc.,"Amazon, Yahoo, Symantec, Viraltag","Product executive managing a team of 25 PMs, overseeing roadmap for 200+ engineering team at Yelp. Deep product, technical expertise (AI/ML, Data), and experience scaling my own startup.","Product Management, 0->1 Products, Building and scaling MVPs, Experimentation, AI/ML, Metrics, Trust & Safety",Advisor,USA/Canada,Berkeley Skydeck,recsu7BenikgBedHd
Pancrazio Auteri,MainStreaming,"TiVo, Fing (exit), Vendini (exit), Tvblob (exit), BuskerLabel (failed), DNA (exit)","Technologist by training, startupper by passion, product manager by trade.","Product management, Service design, Customer discovery, Product delivery",Advisor,USA/Canada,Berkeley Skydeck,recsx8MrWxZMqLn1s
Geoffrey Palmer,Looking for my next role,"Dispatch, Catchpoint, DoubleCheck Research","Seasoned software sales and marketing professional, specializing in translating complex ideas into stories that resonate. Over a decade of start-up experience including GTM planning, positioning and messaging, product launch management, market and customer research and analysis, and content creation. ","GTM planning, positioning and messaging, TAM assessment, content and collateral, buyers' journey, market research, competitive intelligence, qualitative and quantitative analysis",Mentor,USA/Canada,Berkeley Skydeck,rectCfYQaVcLVQ1Es
Myriam Hong Tuan Ha,UCB,"Biotech and strategy consulting. Zogenix , Simon Kucher and partners, Sanofi","Doctor of pharmacy and MBA. 7+ years of experience in launching drugs, pricing and reimbursement in the US and Europe. Used to have a startup backed up by Novartis, in the biggest French healthcare accelerator ",Biotech healthcare life sciences product launch ,Advisor,USA/Canada,Berkeley Skydeck,rectLf1t7oRkque3c
Marco Ficarra,Strastegy&,"Venere.com (part of Expedia); Bluvacanze; Destination Italia; Nielsen, TNT Express, Home Shopping Europe, RCS, Moffu Labs","Trained in a boutique management consulting firm, I have lead 4 PE owned firms to an exit (3 as CEO), founded 2 enterprises (one sold privately for 100$M+, the other IPOed; managed 3 country branches of multinationals (2 inn Italy, 1 in Spain), and founded a startup investment vehicle with now 80 partners and 40 investment to date (of which one unicorn)","Travel, Live TV shopping, Publishing, startup deals, ",Advisor,Europe,"SkyDeck Europe, Milano",rectNknRSHpz29YUj
Angelica Morrone,"Deutsche Suisse Asset Management, Ltd","Fiat USA, Morgan Stanley, Goldman Sachs","I come from the world of finance, having been a hedge fund manager for 20 years.  In the past 12 years, I have focused my attention on helping startups reaching the investibility criteria needed to obtain funding.  My vision is to derisk the investment by angel investors by increasing the investibility of the startps.  ","Impact, Lifestyle, fintech, biotech, health",Mentor,Europe,"SkyDeck Europe, Milano",rectXXDwctNiXXvZe
Sunny Jiang,MaasVentures,"Brightlands (a Dutch gov funded incubator), Philips, Flextronics","I’m Sunny Jiang based in Maastricht, the Netherlands, a well-known mentor, builder and visionary leader in Europe for blockchain and web3 with Computer Science (B.Sc) and International Business (M.Sc) background.   I have 10+ years experiences in the startup venturing ecosystem in Europe - transfer knowledge from the researchers and convert the ideas to promising commercial startups. I initiated and built meaningful relationships with global partners (policy makers, investors, founders, researchers) in Europe, US and Asia and supported 50+ ventures in deep tech sector to grow. As a visionary female leader in web3 in Europe I'm famous of my business development capability and interpersonal impact, my network covers all web3 major hotspots and I interacted with many web3 c-suite executives.  I have very large web3 network (personal follower 10k+) and I am board adviser of several esteemed organisation. As a pioneer, I connected almost all the major web3 hotspots/stakeholders in the world and initiated breakthrough events in web3.   I’m a “famous” mentor of Frankfurt School Blockchain Center - the only person who are involved to the whole series of the web3 talents program of Frankfurt - covering DLT, DeFi, NFT, Bitcoin and Regenerative Finance! with my rich knowledge and influence in web3 space I mentored (directly/indirectly) thousands of global talents including talents from e.g. JP Morgan, EY, BNY Mellon, IBM, KPMG, PwC, Accenture, UBS, Google.  I’m a current mentor of Outlier Ventures with HQ in London as well - one of the top web3 accelerators in Europe.I support founders of top 3% web3 startups in the past polygon base camp, OV base camp and became advisory board member of one startup later as they are keen to have my continuous support.","Blockchain, Web3, DeFi, NFT, DLT, tokenization, digital assets",Advisor,Europe,Berkeley Skydeck,rectXzGZQ702bHRuJ
Wen Wen,Aurelia Ventures,"Blockchain Founders Fund, Elavait and Emirates Airlines","My unwavering dedication and sense of responsibility, combined with a fervent interest in technology and  progress are the driving forces behind my work as a venture capitalist at Aurelia Ventures. Alongside my current role, I have also gained firsthand experience as a software startup founder and hold a finance-focused MBA with expertise in venture capital, financial modeling, and entrepreneurship.  Over the past decade, I have lived and worked in a variety of global locations including Dubai, Hong Kong, Berlin, and Singapore. I thrive in diverse team settings and seek to connect with fellow professionals who share my passion for innovation, regardless of their location.","B2B SaaS, early-stage startups, entrepreneurship, Diversity and Inclusion, AI and early-stage financing",Mentor,USA/Canada,Berkeley Skydeck,rectf8zCG664MCSK3
Chris Coll-Beswick,Transcend Labs,"Transcend Labs, Blockchain Accelerator. Master Ventures, Blockchain Venture Capital & Incubation. Calibre Capital, Blockchain VC ","Web3 advisor passionate about empowering the next generation of blockchain and impact technologies. launching an Impact Acceleration Programme focusing on sustainability projects across the climate, emergent technology, ESG, mental health, and agroforestry sectors. The mission is to support the world transition to a brighter future by accelerating sustainable companies at the forefront of the impact movement.  Early-stage investor with 8+ years experience in the Web3 industry. Advisor to Seed-IDO Web3 companies including; Ikonic, Metafluence, Digicorp. Raised over $20 million. ","Blockchain, Impact & Sustainability ",Advisor,Europe,Berkeley Skydeck,rectg1p5vl3jPuorH
Rui Ribeiro,IP Telecom and Lusofona University ,"Sybase Inc, Estradas de Portugal, Infraestruturas de Portugal ","• Visionary and goal-oriented. Business, Digital Transformation and Information Systems Executive with several industries know-how (Telco, Finance, Government, Utilities, among others), and demonstrated experience in planning, developing and implementing cutting edge information solutions to address business opportunities, throughout the strong experience for delivering Business deployments with Information Systems Architectures; • Value-added of having the experience of 11 years in Software and Consultancy Services and more than 12 years of experience at an Enterprise and Government organizations, meaning the ability to deliver proactive and innovative project solutions with the overall view of end-to-end business, strategic and cultural processes within a company; • Conception and development of Strategic Plans, either business or information systems for enterprises, with the competitive advantage of implementing that strategy across several areas: client services, product development support, sales, innovation, and quality assurance. • Human resource leader and public speaking capabilities: experience of managing teams with +200 persons and has been a speaker in several events, conferences, and training. • Roles across the organizations: General Manager, Sales, and Customer Director, Information Systems Director, Professional Services Director; • Ph.D. and MBA degrees, supported by an IT Engineering graduation  AREAS OF EXPERTISE  • Business Strategy • Information Systems • Digital Transformation • Product Development • Sales and Marketing • Leadership • Team Building • Innovation • Consultancy   Specialties: Telcos, Utilities, Finance, Mobile Solutions, Digital Transformation","Digital Transformation, Disruptive Technologies, software ",Advisor,Europe,"SkyDeck Europe, Milano",rectgdufRBh6hajzM
Borko Popic,TaskHuman,"Overactive Media, Toronto Metropolitan University, Canada Basketball ","My experience and expertise are at the intersection of multiple domains (education, pro & collegiate sports, pro esports, tech and business).   I specialize in working with people and organizations to optimize performance and build toward sustained success.","Sports, eSports, Leadership, Talent Development, Education, Edtech,",Advisor,USA/Canada,Berkeley Skydeck,rectoOckSRK2ZmZT0
Yuki Ku,Presidio Legal,"Together Labs, Covington, K&L Gates",Pragmatic corporate lawyer for startups and early stage investors + mentor and advisor to startups through Acclerlertors,"Formation, founder equity, common founder mistakes, fundraising, IP strategy, contracts, hiring and firing.",Advisor,USA/Canada,Berkeley Skydeck,rectvhzMMk8lVUlt5
Anand Engineer,Scrum Ventures,"Scrum Ventures, Vitalize VC, GoingVC, BBQ Capital, Optio Ventures, DocVocate (COO/CFO of healthcare startup), Redaptive Inc (employee #7), started my first business in highschool ($50K in lifetime revenue)","couldn't speak for the first 7 years of my life because of a severe stutter, launched a clothing brand in highschool inspired by my personal challenges that generated $50K in lifetime revenue, attended UC Berkeley where I studied Econ/CS, I worked at Redaptive Inc during my team here for 2 years with the core founding team (Redaptive Inc now has >300 employees), was an integrations engineer after college while working at Oracle, moved to a early-stage startup operator role in healthcare after that, spent two years as an operator and have been in VC since","Generative AI, HealthTech, B2B software",Advisor,USA/Canada,Berkeley Skydeck,recu1B4kYyzzcs6sm
Shishir Ramesha,Qualcomm Inc,Honeywell Technologies,"My strength lies in Product Strategy, Planning and Design. In day-to-day life, I drive 5G technology roadmap. I also have strong back-ground in Customer Segmentation, Interviewing and Pricing strategies from my entrepreneurial exploration. My strong mix of Tech(BE/MS) and Business(MBA) background, I believe I can bring unique perspective to both Product and Business challenges. Fun Fact: My team made the first 5G call in the world.","Product Strategy, Market Survey and Pricing, Software Design, Telecommunications, Embedded Design, Go-To-Market Strategy, Angel Investing.",Advisor,USA/Canada,Berkeley Skydeck,recu2AksPkw4aclAt
Johnny Yoo,WeWork Japan GK,"SoftBank Corp, Citigroup, Goldman Sachs","Korean American ""made in"" Kyoto, Japan ","Digital Health Tech, Prop Tech, Robotics",Mentor,Asia,"SkyDeck, Japan",recu5cTYWZjcQsV7x
Molly Turner,"Berkeley Haas School of Business, and I have my own startup policy advising practice","Airbnb, Hipcamp, Spin, Propel, PadSplit","I was an early employee at Airbnb, where I founded and directed the public policy team and led global civic partnerships for 5 years. I now teach Startup Policy Strategy to the MBAs at Berkeley Haas and advise a variety of early-stage tech startups on policy strategy, including Hipcamp, Spin, Propel, and PadSplit. ","Public policy, government relations, urban policy, housing, mobility",Advisor,USA/Canada,Berkeley Skydeck,recuBatyq1m1YiOL4
Andrea Gennarini,2100 Ventures,BCG,"Management Consulting (BCG), M&A (Credit Suisse), investor at Family Office and angel investor","B2B SaaS, Strategy & Business Planning, GTM",Mentor,Europe,"SkyDeck Europe, Milano",recuGsMGIcbQ6bMZq
Patrick Dunne,,,,,,,,recuJML4cKsir2HAL
Ittai Shiu,UC Berkeley,"VDX.tv, Exponential, Elfster","I’m currently an instructor at UC Berkeley Extension teaching Marketing Research Concepts and Techniques for the Entrepreneurship program. Here I cover qualitative and quantitative strategies and concepts as well as data analysis and collection techniques. In addition, I provide research and content to raise awareness and credibility. I am also a Business/Operations veteran servicing startups to large organizations. As General Manager for Elfster, I helped grow and scale a seasonal holiday business by 100% during the pandemic. As General Manager for the video advertising company Adotube, I integrated people and processes into an umbrella company composed of 3 other divisions. As the Director of Product Strategy and Operations at Exponential, I implemented data-driven strategies to achieve scale and efficiency in a business with 600 employees, 22 offices, and $250MM in annual revenue.  More recently I’ve become committed to empowering younger generations to transition from academics to their career as evidenced by my creating LaunchPoint, a non-profit dedicated to promoting equality and opportunity for college students from low-income and underrepresented communities. ","Operations, Marketing, Growth, Scale",Mentor,USA/Canada,Berkeley Skydeck,recuOjDcjxhxMLB0I
Matt Moretti,Silicon Valley Bank,"Boston Consulting Group (Digital Ventures), Fairclaims (VC-backed legal tech startup)",Graduated from Berkeley Law in 2015 and have been working in the startup ecosystem and management consulting for the past seven years focused on regulated industries.,"Product development in regulated industries, startup operations, strategy and GTM",Mentor,USA/Canada,Berkeley Skydeck,recub4wJKAtF7FYKP
Ziyuan (Roger) Ying,Excel Orange Edtech Group/Amazon,Alibaba Group,"Ziyuan (Roger) Ying is the Co-founder of Excel Orange Edtech Group with a strong interest in NGO and Global Social Affairs. Ying has been consistently working for institutions including the United Nations Development Program and represented the state of California at Capitol Hill in Washington D.C as a Policy Advocator for United Nations Association (UNA-USA).  Ying skilled in International Business Development and Strategic Analysis with a demonstrated history of working in multinational Technology company Amazon (2020-2021) and Alibaba Group (2018-2019) and was selected as 1 of 28 Alibaba ""Global Dreamers"" in 2018.  Ying holds a B.S degree in Business Administration from Haas School of Business at UC Berkeley, and studied at Bocconi University in Milan, Italy. With his global perspectives and multilingual skills, Ying would love to discuss any innovative idea and opportunity.","Edtech, Chinese market, education",Mentor,,Berkeley Skydeck,recubtlp6Y19eabkv
Vibhu Singh,Beans.ai,McKinsey and Company,"Deep expertise in strategy and operations, and entrepreneurship. 4+ years of management consulting experience. Most recently at an early stage startup (3rd venture)","Go to market, Zero to One, Fund Raising",Advisor,USA/Canada,Berkeley Skydeck,recueo95bgYJV6D5y
Kazik Anhalt,University of Warsaw,"Covid Genomics, University of Warsaw, SIPTU",I am a member of the 4EU+ Alliance on University of Warsaw side,"Go to market, healthcare, food",Mentor,,Berkeley Skydeck,recuj0VS43YKq8f4m
Samir Ghosh,Self,"Microsoft, IBM, Lotus Development Corp, Procter & Gamble, Atheer, WaveMaker, Qontext, Intellution",Please see https://ghosh.com/,"B2B, Software, SaaS, GTM, Marketing, Fundraising, Growth",Advisor,USA/Canada,"SkyDeck Europe, Milano",recurMFoEMlpr3zBu
Ciaran Quinn,,,,,Advisor,Europe,"SkyDeck Europe, Milano",recv47djQdE6Hpxkk
Avag Simonyan,Triple S VC ,Startup Armenia Foundation; Seaside Startup Summit,"A result-driven entrepreneur with over a decade of experience in a myriad of fields. My journey began with the founding of the first renting platform in Armenia during the early 2009-2010s, revolutionizing the way customers connected with renters. Since then, I have co-organized a plethora of tech and non-tech initiatives, from investment funds to cultural projects as managing the only tech-incorporated museum honoring William Saroyan. Namely, I have co-founded an educational platform with friends which later evolved into the renowned startup platform known as Seaside Startup Summit. This micro acceleration platform has attracted leading angels, VCs, entrepreneurs serving as a catalyst for growth in the startup field.  Over the past years, events held in regions such as the UAE, India and Armenia have drawn over 1000 dynamic startups and engaged 25,000 participants from over 50 countries. We've provided over $350,000 in grants and facilitated investments totaling $4,000,000. I co-founded the Startup Armenia Foundation and currently serve as its Chairman of the Board. This foundation has played a pivotal role in connecting startup ecosystems across regions facilitating global partnership and serving as a gateway to emerging startup markets.  I am the Co-founder and Partner of Triple S Venture Capital, an early stage-focused tech fund investing in tech startups led by outstanding entrepreneurs. With a keen focus on AI, Healthtech and Biotech, SaaS platforms, fintech, and the creator economy, Triple S aims to push exceptional ideas to become game-changing companies while providing expertise and networking opportunities to them. Over the past one and a half year, we've invested in 10 tech startups, including 2 from Berkeley Accelerator's portfolio, and we actively monitor opportunities to further invest in scalable ideas. ",Tech startups; AI; SaaS; ConTech ,Advisor,USA/Canada,Berkeley Skydeck,recv5SjanIESnJZkS
Emilie Viasnoff,Synopsys,"Saint-Gobain, CEA, Synopsys","As a leader in semiconductor physics, optics, and photonics, I like to work in a highly scientific, and technical environment. I can create and lead best-in-class teams through solid business and technical vision. I build and execute results-driven strategies, with a focus on industrial and societal positive impacts. Over the past 20 years, I had complementary experiences in different organizations, public and private (large corporates and start-ups). As an executive leader what matters to me is the path from maturing an idea in a laboratory to its operationalization and industrialisation. ","semiconductor HW and SW, optics, photonics, augmented reality, microdisplays, data management, AI",Mentor,USA/Canada,Berkeley Skydeck,recv7Cp98i4hkErLi
Nicole Schepanek,Aureus Capital,"BCG, OliverWyman, McKinsey, Bank of America, Earlybird","Having studied mathematics, I always liked finance and financial services. This interest was furthered through the start of my career at Oliver Wyman. By now, I'm running a small cap PE funds together with my 2 partners, and do corporate finance advisory work, complemented by my Board positions.","Fintech, Insurtech, Healthtech, Financial Services",Advisor,Europe,"SkyDeck Europe, Milano",recv7E2O1YSpczOWG
Vlad Rozhkovskiy,"Kodiak Robotics (Series C, $165M raised) - Leading Strategic Finance at an AI-driven Autonomous vehicle startup (e.g. capital raising efforts, investor relations, IPO readiness, creative financing, and cash runway forecasting)","NIO – Electric Vehicles Manufacturer ($15B market cap, ~15K employees). Founding member of 5-person team responsible for launching NIO’s $3B+ US business (in charge of market viability, startup costs, revenue forecast, and break even profitability).                                                 Credit Suisse – Investment Banking ($12B market cap, ~50K employees). Completed >$5B in transaction volume for companies including AirBnB, Snap, Rocket Mortgage, Tesla, and Corsair Gaming                                                  Peet’s Coffee – CPG ($14B market cap, ~5K employees). Restructured and led national logistics supply chain for largest private equity owned coffee chain, leading to synergies across multiple portfolio companies and increasing IRR at IPO.                                                   TracFone Wireless – Telecom ($7B, 1K+ employees). Scaled Product Management and Finance functions for the world’s largest prepaid mobile company, resulting in 20% growth in ARR and eventual acquisition by Verizon                                                 Founder – Hungry Gator LLC, Wireless Ninja Co. Founded, scaled, and exited a grocery delivery company while obtaining BA degree, and simultaneously operating a computer repair & import/export business ","I am a finance, strategy, and operations professional with 15 years of experience at high-profile startups and multinational corporations. I have a proven track record scaling companies through rigorous financial analysis and a deep understanding of business operations. My experience spans across technology investment banking (M&A, IPOs, capital raises, etc), high-growth corporate development, GTM operations & strategy, product management, and entrepreneurship. My passion lies in launching and scaling companies in the health & fitness, mobility & transportation, and AR/VR verticals ","Health and fitness tech, wearable devices, Ai/ML, blockchain/web3, transportation (AVs/EVs), ",Advisor,USA/Canada,Berkeley Skydeck,recv83p0okFrl9L1X
Maria Pasquale,self-employed,"Ebury, Nutmeg, Bought By Many, Ebury","Maria Pasquale is a product builder and a fintech veteran. Maria has spent the last ten years in product leadership positions at successful fintech startups and growth-stage companies in Europe.  At Nutmeg, Maria was employee number eight and the first product manager. She built and launched Nutmeg’s innovative digital wealth management service. Nutmeg is the first and now the largest digital wealth manager in Europe. JP Morgan recently acquired Nutmeg for c. $1 billion to bolster their digital banking push in the U.K.  At Bought By Many, Maria defined their pet insurance offering and built an engine to cost-effectively create customers through the pioneering use of data from Facebook. Pet insurance is now the only vertical that the company is focused on and, following its latest funding round, Bought By Many has achieved unicorn status.  At Ebury, Maria led the digital transformation of the business as Head of Product. As a result, Ebury was recognised as one of the UK’s fastest growing fintech companies by Tech Nation’s FutureFifty and Deloitte’s UK Technology Fast 50 rankings.  Most recently, Maria co-founded UpSpark, a multinational boutique consultancy providing business strategy and product expertise to startups and growth companies in the UK, Europe and the US. She is also a startup advisor and an angel investor.   Maria has received the Inspiring Fifty UK & Inspiring Fifty Italy awards, which celebrate the top 50 inspiring women leaders in tech and is presented every 3 years. She has also been recognised as a Senior Leader on the Women in Fintech Powerlist 2021 by Innovate Finance, driven by her contributions to the UK’s Fintech ecosystem. Maria is a Judge for Tech Nation’s FinTech programme, the UK government backed tech accelerator.  Early in her career, Maria led teams at Commerzbank in Hong Kong and London as the youngest female senior manager. She has also previously held product manager roles at Microsoft in Seattle, Juntos Finanzas in Palo Alto and ENI in Milan.  Maria holds a Master’s degree in Physics from the University of Pisa, a Master’s degree in Finance from Bocconi University, an MBA from Stanford University and is currently pursuing a part-time Master’s degree in Software Engineering at the University of Oxford.","Fintech, Product Management and Strategy",Advisor,USA/Canada,"SkyDeck Europe, Milano",recv8RsZxmwaQcX8m
Yoshito Matsuura,"Internet Research Institute, Inc. (Great Circle Advisors)",Citigroup Inc.,"worked at Citigroup for 30 years, engaged in trading, lending, M&A and proprietary investment. Recently engaged in company turnaround and supporting stat-up companies. ","Banking, Capital Markets, Investment and finance ",Advisor,Asia,Berkeley Skydeck,recvAkQAqYmSoSler
Hassan Hankir,Rely,Berkeley Skydeck startups,"My background is mainly in Applied Mathematics, Data, and AI. I contribute to the development of cutting-edge AI solutions that help businesses and consumers make smart decisions. I apply my skills and knowledge in artificial intelligence and mathematics to create innovative products and services that are scalable, reliable, and ethical. I am also a graduate of the MIT Global Entrepreneurship Program, where I learned how to launch and grow a successful technology venture.","Applied Mathematics, Data, AI, Real Estate, Sports Tech",Mentor,Africa,Berkeley Skydeck,recvAsCEyfzV6DuXm
Steve Frey ,Endeva,"Kernel, TrustLabs","Cofounder: Endeva (generative AI for creators), TrustLabs (USD stablecoin), NeurotechX (neurotech network); founding teammate: Kernel (BCI)","Product, strategy, team-building. AI, brain-computer-interfaces, healthcare",Advisor,USA/Canada,Berkeley Skydeck,recvBooYA4QbyyAZz
Aileen Baquiran,Landmark Bio,"Johnson & Johnson, Jazz Pharmaceuticals, Orchard Therapeutics","Accomplished life sciences professional with well-rounded experience in early start-up operations, project management and supply chain management. Member of Landmark Bio's founding team, scaling the company from 8 to over 70 people in less than 1 year. Current responsibilities include program management, people operations, IT services and corporate communication. ",Biotech,Mentor,USA/Canada,Berkeley Skydeck,recvGJfQ9iemdi2x7
Manoj Mittal,Sutter Health,"University of Kansas Medical Center, Mayo Clinic","Experienced Neurointensivist with a demonstrated history of working in academic centers and industry. Skilled in Epidemiology, Intensive Care, Quality Improvement, Healthcare Information Technology (HIT), and Neurology. Quality and result oriented professional with a Master's degree focused in Biomedical Sciences, clinical and translational science from Mayo Graduate School.","Healthcare, digital health, neurology, neuroscience, research",Advisor,USA/Canada,Berkeley Skydeck,recvNfn6lvbfOqJ2g
Dzianis Zhynko,"EPAM System, Self-Employed","Verizon, Hitachi, RollsRoyce, ScienceSoft","Experienced, technically advanced and proactive Digital Leader, Change & Project Management professional with 19+ years of experience in IT, Software Development and Enterprise Systems;",857,Mentor,USA/Canada,Berkeley Skydeck,recvObGlYMoTn3499
Nabil Takla,N3Ventures LLC,"Intel, Innovative Semiconductors, Inc., Marta ","Proven serial entrepreneur, CEO, and technology visionary with broad technical knowledge and extensive business experience that loves to work with creative people in disruptive technologies","Semiconductors, AI, IoT and Crypto ",Advisor,USA/Canada,Berkeley Skydeck,recvQEBblYfy522e2
